schemaname,tablename,policyname,permissive,roles,command,using_expression,with_check_expression
public,activity_logs,Users can insert activity logs,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,activity_logs,Users can read activity logs,PERMISSIVE,{public},SELECT,true,null
public,notes,Users can delete their notes,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),null
public,notes,Users can insert notes,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,notes,Users can update their notes,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,notes,Users can view their notes,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,properties,users can delete own properties,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),null
public,properties,users can insert own properties,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,properties,users can update own properties,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,properties,users can view own properties,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,roles,Everyone can read roles,PERMISSIVE,{public},SELECT,true,null
public,users,Admins can read all users,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM users users_1
  WHERE ((users_1.id = auth.uid()) AND (users_1.role = 'admin'::text))))",null
public,users,System can insert users,PERMISSIVE,{public},INSERT,null,(auth.uid() = id)
public,users,User can read their own profile,PERMISSIVE,{public},SELECT,(auth.uid() = id),null
public,users,Users can read own data,PERMISSIVE,{public},SELECT,(auth.uid() = id),null
